21-03-2024 16:36:13.643Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:36:13.644Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:36:13.645Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 11
21-03-2024 16:36:34.223Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:36:36.356Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:36:37.977Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:36:37.978Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:36:37.980Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 12
21-03-2024 16:36:58.629Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:37:00.787Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:37:02.309Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:37:02.310Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:37:02.312Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 13
21-03-2024 16:37:22.988Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:37:25.106Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:37:26.656Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:37:26.658Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:37:26.660Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 14
21-03-2024 16:37:47.394Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:37:49.544Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:37:51.073Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:37:51.074Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
